county_id,county,state,Sum Stations
16011,Bingham County,Idaho,No stations reported.
16013,Blaine County,Idaho,No stations reported.
16015,Boise County,Idaho,No stations reported.
16017,Bonner County,Idaho,No stations reported.
16019,Bonneville County,Idaho,No stations reported.
16021,Boundary County,Idaho,No stations reported.
16023,Butte County,Idaho,No stations reported.
16025,Camas County,Idaho,No stations reported.
16027,Canyon County,Idaho,No stations reported.
16029,Caribou County,Idaho,No stations reported.
16031,Cassia County,Idaho,No stations reported.
16033,Clark County,Idaho,No stations reported.
16035,Clearwater County,Idaho,No stations reported.
16037,Custer County,Idaho,No stations reported.
16039,Elmore County,Idaho,No stations reported.
16041,Franklin County,Idaho,No stations reported.
16043,Fremont County,Idaho,No stations reported.
16045,Gem County,Idaho,No stations reported.
16047,Gooding County,Idaho,No stations reported.
16049,Idaho County,Idaho,No stations reported.
16051,Jefferson County,Idaho,No stations reported.
16053,Jerome County,Idaho,No stations reported.
16055,Kootenai County,Idaho,No stations reported.
16057,Latah County,Idaho,No stations reported.
16059,Lemhi County,Idaho,No stations reported.
16061,Lewis County,Idaho,No stations reported.
16063,Lincoln County,Idaho,No stations reported.
16065,Madison County,Idaho,No stations reported.
16067,Minidoka County,Idaho,No stations reported.
16069,Nez Perce County,Idaho,No stations reported.
16071,Oneida County,Idaho,No stations reported.
16073,Owyhee County,Idaho,No stations reported.
16075,Payette County,Idaho,No stations reported.
16077,Power County,Idaho,No stations reported.
16079,Shoshone County,Idaho,No stations reported.
16081,Teton County,Idaho,No stations reported.
16083,Twin Falls County,Idaho,No stations reported.
16085,Valley County,Idaho,No stations reported.
16087,Washington County,Idaho,No stations reported.
17001,Adams County,Illinois,No stations reported.
17003,Alexander County,Illinois,No stations reported.
17005,Bond County,Illinois,No stations reported.
17007,Boone County,Illinois,No stations reported.
17009,Brown County,Illinois,No stations reported.
17011,Bureau County,Illinois,No stations reported.
17013,Calhoun County,Illinois,No stations reported.
17015,Carroll County,Illinois,No stations reported.
17017,Cass County,Illinois,No stations reported.
17019,Champaign County,Illinois,No stations reported.
17021,Christian County,Illinois,No stations reported.
17023,Clark County,Illinois,No stations reported.
17025,Clay County,Illinois,No stations reported.
17027,Clinton County,Illinois,No stations reported.
17029,Coles County,Illinois,No stations reported.
17031,Cook County,Illinois,No stations reported.
17033,Crawford County,Illinois,No stations reported.
17035,Cumberland County,Illinois,No stations reported.
17037,DeKalb County,Illinois,No stations reported.
17039,De Witt County,Illinois,No stations reported.
17041,Douglas County,Illinois,No stations reported.
17043,DuPage County,Illinois,No stations reported.
17045,Edgar County,Illinois,No stations reported.
17047,Edwards County,Illinois,No stations reported.
17049,Effingham County,Illinois,No stations reported.
17051,Fayette County,Illinois,No stations reported.
17053,Ford County,Illinois,No stations reported.
17055,Franklin County,Illinois,No stations reported.
17057,Fulton County,Illinois,No stations reported.
17059,Gallatin County,Illinois,No stations reported.
17061,Greene County,Illinois,No stations reported.
17063,Grundy County,Illinois,No stations reported.
17065,Hamilton County,Illinois,No stations reported.
17067,Hancock County,Illinois,No stations reported.
17069,Hardin County,Illinois,No stations reported.
17071,Henderson County,Illinois,No stations reported.
17073,Henry County,Illinois,No stations reported.
17075,Iroquois County,Illinois,No stations reported.
17077,Jackson County,Illinois,No stations reported.
17079,Jasper County,Illinois,No stations reported.
17081,Jefferson County,Illinois,No stations reported.
17083,Jersey County,Illinois,No stations reported.
17085,Jo Daviess County,Illinois,No stations reported.
17087,Johnson County,Illinois,No stations reported.
17089,Kane County,Illinois,No stations reported.
17091,Kankakee County,Illinois,No stations reported.
17093,Kendall County,Illinois,No stations reported.
17095,Knox County,Illinois,No stations reported.
17097,Lake County,Illinois,No stations reported.
17099,LaSalle County,Illinois,No stations reported.
17101,Lawrence County,Illinois,No stations reported.
17103,Lee County,Illinois,No stations reported.
17105,Livingston County,Illinois,No stations reported.
17107,Logan County,Illinois,No stations reported.
17109,McDonough County,Illinois,No stations reported.
17111,McHenry County,Illinois,No stations reported.
17113,McLean County,Illinois,No stations reported.
17115,Macon County,Illinois,No stations reported.
17117,Macoupin County,Illinois,No stations reported.
17119,Madison County,Illinois,No stations reported.
17121,Marion County,Illinois,No stations reported.
17123,Marshall County,Illinois,No stations reported.
17125,Mason County,Illinois,No stations reported.
17127,Massac County,Illinois,No stations reported.
17129,Menard County,Illinois,No stations reported.
17131,Mercer County,Illinois,No stations reported.
17133,Monroe County,Illinois,No stations reported.
17135,Montgomery County,Illinois,No stations reported.
